latitude,longitude,date
35.605,-97.53,05/16/2019
35.582,-80.852,06/26/2019
37.989,-87.464,06/28/2019
45.55,-94.203,06/29/2019
29.978,-95.711,07/19/2019
51.906,-0.219,07/24/2019
27.496,-82.471,08/21/2019
33.4,-84.622,08/22/2019
42.321,-88.962,08/23/2019
31.22,121.272,08/27/2019
32.871,-96.763,09/05/2019
41.359,-72.213,11/14/2019
44.857,-93.129,11/15/2019
32.423,-90.147,03/12/2020
-31.929,115.956,03/19/2020
